"Time","Contract","Funding Interval","Funding Rate"
"
03/04/2024 15:00:00","
ETH Perpetual/USD","
Every 8 Hours","
0.1082%"
"
03/04/2024 07:00:00","
ETH Perpetual/USD","
Every 8 Hours","
0.0573%"
"
03/03/2024 23:00:00","
ETH Perpetual/USD","
Every 8 Hours","
0.0827%"
"
03/03/2024 15:00:00","
ETH Perpetual/USD","
Every 8 Hours","
0.0667%"
"
03/03/2024 07:00:00","
ETH Perpetual/USD","
Every 8 Hours","
0.0553%"
"
03/02/2024 23:00:00","
ETH Perpetual/USD","
Every 8 Hours","
0.0521%"
"
03/02/2024 15:00:00","
ETH Perpetual/USD","
Every 8 Hours","
0.0682%"
"
03/02/2024 07:00:00","
ETH Perpetual/USD","
Every 8 Hours","
0.0647%"
"
03/01/2024 23:00:00","
ETH Perpetual/USD","
Every 8 Hours","
0.0440%"
"
03/01/2024 15:00:00","
ETH Perpetual/USD","
Every 8 Hours","
0.0720%"
"
03/01/2024 07:00:00","
ETH Perpetual/USD","
Every 8 Hours","
0.0523%"
"
02/29/2024 23:00:00","
ETH Perpetual/USD","
Every 8 Hours","
0.0617%"
"
02/29/2024 15:00:00","
ETH Perpetual/USD","
Every 8 Hours","
0.0910%"
"
02/29/2024 07:00:00","
ETH Perpetual/USD","
Every 8 Hours","
0.1688%"
"
02/28/2024 23:00:00","
ETH Perpetual/USD","
Every 8 Hours","
0.0472%"
"
02/28/2024 15:00:00","
ETH Perpetual/USD","
Every 8 Hours","
0.0788%"
"
02/28/2024 07:00:00","
ETH Perpetual/USD","
Every 8 Hours","
0.0466%"
"
02/27/2024 23:00:00","
ETH Perpetual/USD","
Every 8 Hours","
0.0186%"
"
02/27/2024 15:00:00","
ETH Perpetual/USD","
Every 8 Hours","
0.0260%"
"
02/27/2024 07:00:00","
ETH Perpetual/USD","
Every 8 Hours","
0.0308%"
"
02/26/2024 23:00:00","
ETH Perpetual/USD","
Every 8 Hours","
0.0648%"
"
02/26/2024 15:00:00","
ETH Perpetual/USD","
Every 8 Hours","
0.0516%"
"
02/26/2024 07:00:00","
ETH Perpetual/USD","
Every 8 Hours","
-0.0102%"
"
02/25/2024 23:00:00","
ETH Perpetual/USD","
Every 8 Hours","
0.0460%"
"
02/25/2024 15:00:00","
ETH Perpetual/USD","
Every 8 Hours","
0.0146%"
"
02/25/2024 07:00:00","
ETH Perpetual/USD","
Every 8 Hours","
0.0144%"
"
02/24/2024 23:00:00","
ETH Perpetual/USD","
Every 8 Hours","
0.0277%"
"
02/24/2024 15:00:00","
ETH Perpetual/USD","
Every 8 Hours","
-0.0045%"
"
02/24/2024 07:00:00","
ETH Perpetual/USD","
Every 8 Hours","
0.0228%"
"
02/23/2024 23:00:00","
ETH Perpetual/USD","
Every 8 Hours","
0.0069%"
"
02/23/2024 15:00:00","
ETH Perpetual/USD","
Every 8 Hours","
0.0128%"
"
02/23/2024 07:00:00","
ETH Perpetual/USD","
Every 8 Hours","
-0.0048%"
"
02/22/2024 23:00:00","
ETH Perpetual/USD","
Every 8 Hours","
0.0203%"
"
02/22/2024 15:00:00","
ETH Perpetual/USD","
Every 8 Hours","
0.0013%"
"
02/22/2024 07:00:00","
ETH Perpetual/USD","
Every 8 Hours","
0.0332%"
"
02/21/2024 23:00:00","
ETH Perpetual/USD","
Every 8 Hours","
0.0082%"
