Time,Symbol,Funding Interval,Funding Rate
2024-03-04 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.1255%
2024-03-04 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.1419%
2024-03-04 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.1199%
2024-03-03 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0877%
2024-03-03 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0614%
2024-03-03 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.1293%
2024-03-02 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0855%
2024-03-02 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.1167%
2024-03-02 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.1317%
2024-03-01 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.1350%
2024-03-01 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.1070%
2024-03-01 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.1209%
2024-02-29 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.1617%
2024-02-29 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.1624%
2024-02-29 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.1396%
2024-02-28 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0975%
2024-02-28 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0750%
2024-02-28 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0220%
2024-02-27 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0571%
2024-02-27 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0650%
2024-02-27 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0718%
2024-02-26 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0649%
2024-02-26 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0424%
2024-02-26 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0270%
2024-02-25 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0723%
2024-02-25 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0267%
2024-02-25 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0123%
2024-02-24 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-24 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-24 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-23 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-23 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-23 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0172%
2024-02-22 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-22 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0138%
2024-02-22 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0216%
2024-02-21 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0450%
2024-02-21 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0256%
2024-02-21 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-20 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-20 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0191%
2024-02-20 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0216%
2024-02-19 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0142%
2024-02-19 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0150%
2024-02-19 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0114%
2024-02-18 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-18 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-18 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-17 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0319%
2024-02-17 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-17 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-16 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0113%
2024-02-16 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-16 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-15 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-15 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0165%
2024-02-15 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-14 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-14 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-14 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-13 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-13 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-13 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-12 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-12 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-12 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-11 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-11 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-11 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-10 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-10 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-10 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-09 19:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0009%
2024-02-09 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-09 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-08 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-08 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-08 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0093%
2024-02-07 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-07 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-07 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0099%
2024-02-06 19:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0090%
